node_name,event_type
Node4419,Speciation
Node4420,Speciation
Node4430,Speciation
Node4431,Speciation
Node4421,Speciation
Node4422,Speciation
Node4427,Speciation
Node4428,Speciation
Node4429,Speciation
Node4423,Speciation
Node4424,Speciation
Node4425,Speciation
Node4426,Speciation
Node4434,Speciation
Node4435,Speciation
Node4436,Speciation
Node4437,Speciation
Node4440,Speciation
Node4441,Speciation
Node4442,Speciation
Node4443,Speciation
Node4444,Speciation
Node4438,Speciation
Node4439,Speciation
Node4448,Speciation
Node4449,Speciation
Node4450,Speciation
Node4451,Speciation
Node4452,Speciation
Node4453,Speciation
Node4454,Speciation
Node4455,Speciation
Node4456,Speciation
Node4461,Speciation
Node4462,Speciation
Node4463,Speciation
Node4457,Speciation
Node4458,Speciation
Node4459,Speciation
Node4460,Speciation
Node4464,Speciation
Node4466,Speciation
Node4467,Speciation
Node4468,Speciation
Node4469,Speciation
Node4492,Speciation
Node4470,Speciation
Node4480,Speciation
Node4481,Speciation
Node4482,Speciation
Node4483,Speciation
Node4486,Speciation
Node4484,Speciation
Node4485,Speciation
Node4487,Speciation
Node4488,Speciation
Node4489,Speciation
Node4490,Speciation
Node4491,Speciation
Node4471,Speciation
Node4477,Speciation
Node4478,Speciation
Node4479,Speciation
Node4472,Speciation
Node4475,Speciation
Node4476,Speciation
Node4473,Speciation
Node4474,Speciation
Node4493,Speciation
Node4494,Speciation
Node4495,Speciation
Node4496,Speciation
Node4500,Speciation
Node4497,Speciation
Node4498,Speciation
Node4499,Speciation
Node4501,Speciation
Node4502,Speciation
Node4504,Speciation
Node4503,Speciation
Node4506,Speciation
Node4507,Speciation
Node4508,Speciation
Node4518,Speciation
Node4521,Speciation
Node4519,Speciation
Node4520,Speciation
Node4509,Speciation
Node4510,Speciation
Node4511,Speciation
Node4515,Speciation
Node4512,Speciation
Node4513,Speciation
Node4514,Speciation
Node4516,Speciation
Node4517,Speciation
Node4522,Speciation
Node4523,Speciation
Node4524,Speciation
Node4530,Speciation
Node4557,Speciation
Node4558,Speciation
Node4559,Speciation
Node4531,Speciation
Node4540,Speciation
Node4541,Speciation
Node4542,Speciation
Node4543,Speciation
Node4544,Speciation
Node4545,Speciation
Node4546,Speciation
Node4547,Speciation
Node4548,Speciation
Node4549,Speciation
Node4550,Speciation
Node4551,Speciation
Node4552,Speciation
Node4553,Speciation
Node4554,Speciation
Node4555,Speciation
Node4556,Speciation
Node4532,Speciation
Node4539,Speciation
Node4533,Speciation
Node4537,Speciation
Node4538,Speciation
Node4534,Speciation
Node4535,Speciation
Node4536,Speciation
Node4560,Speciation
Node4561,Speciation
Node4562,Speciation
Node4563,Speciation
Node4564,Speciation
Node4565,Speciation
Node4566,Speciation
Node4567,Speciation
Node4568,Speciation
Node4569,Speciation
Node4179,Speciation
Node4376,Speciation
Node4381,Speciation
Node4382,Speciation
Node4383,Speciation
Node4377,Speciation
Node4378,Speciation
Node4379,Speciation
Node4380,Speciation
Node4180,Speciation
Node4251,Speciation
Node4252,Speciation
Node4253,Speciation
Node4254,Speciation
Node4255,Speciation
Node4304,Speciation
Node4305,Speciation
Node4306,Speciation
Node4307,Speciation
Node4256,Speciation
Node4294,Speciation
Node4295,Speciation
Node4296,Speciation
Node4297,Speciation
Node4298,Speciation
Node4299,Speciation
Node4300,Speciation
Node4301,Speciation
Node4302,Speciation
Node4303,Speciation
Node4257,Speciation
Node4293,Speciation
Node4258,Speciation
Node4259,Speciation
Node4260,Speciation
Node4261,Speciation
Node4262,Speciation
Node4263,Speciation
Node4264,Speciation
Node4265,Speciation
Node4288,Speciation
Node4289,Speciation
Node4290,Speciation
Node4291,Speciation
Node4266,Speciation
Node4267,Speciation
Node4279,Speciation
Node4268,Speciation
Node4269,Speciation
Node4270,Speciation
Node4271,Speciation
Node4274,Speciation
Node4272,Speciation
Node4273,Speciation
Node4275,Speciation
Node4276,Speciation
Node4277,Speciation
Node4278,Speciation
Node4280,Speciation
Node4281,Speciation
Node4282,Speciation
Node4283,Speciation
Node4286,Speciation
Node4287,Speciation
Node4284,Speciation
Node4285,Speciation
Node4292,Speciation
Node4308,Speciation
Node4309,Speciation
Node4310,Speciation
Node4311,Speciation
Node4315,Speciation
Node4322,Speciation
Node4323,Speciation
Node4316,Speciation
Node4321,Speciation
Node4317,Speciation
Node4318,Speciation
Node4319,Speciation
Node4320,Speciation
Node4312,Speciation
Node4313,Speciation
Node4314,Speciation
Node4324,Speciation
Node4349,Speciation
Node4325,Speciation
Node4326,Speciation
Node4340,Speciation
Node4341,Speciation
Node4342,Speciation
Node4343,Speciation
Node4344,Speciation
Node4345,Speciation
Node4346,Speciation
Node4347,Speciation
Node4348,Speciation
Node4327,Speciation
